"Family","Donor","CS","OD","OD_median","relab","relab_median","BaseMedia"
"Alcaligenaceae",7,"Fructose",0.4715,0.472,0.002727962,0.011742304,"BHI_10"
"Alcaligenaceae",8,"Fructose",0.5845,0.472,0.011742304,0.011742304,"BHI_10"
"Alcaligenaceae",2,"Fucose",0.2855,0.3895,0.023027182,0.024437172,"BHI_10"
"Alcaligenaceae",3,"Fucose",0.3585,0.3895,0.010039492,0.024437172,"BHI_10"
"Alcaligenaceae",4,"Fucose",0.42,0.3895,0.0295521985,0.024437172,"BHI_10"
"Alcaligenaceae",5,"Fucose",0.4015,0.3895,0.0321393625,0.024437172,"BHI_10"
"Alcaligenaceae",6,"Fucose",0.386,0.3895,NA,0.024437172,"BHI_10"
"Alcaligenaceae",7,"Fucose",0.3895,0.3895,0.0140416455,0.024437172,"BHI_10"
"Alcaligenaceae",8,"Fucose",0.4085,0.3895,0.025847162,0.024437172,"BHI_10"
"Alcaligenaceae",2,"Fumarate",0.2885,0.293,0.1743705935,0.0943101055,"BHI_10"
"Alcaligenaceae",3,"Fumarate",0.2655,0.293,0.1205442,0.0943101055,"BHI_10"
"Alcaligenaceae",4,"Fumarate",0.329,0.293,0.0943101055,0.0943101055,"BHI_10"
"Alcaligenaceae",5,"Fumarate",0.293,0.293,0.0656736525,0.0943101055,"BHI_10"
"Alcaligenaceae",6,"Fumarate",0.2685,0.293,0.000212567,0.0943101055,"BHI_10"
"Alcaligenaceae",7,"Fumarate",0.293,0.293,0.0299517435,0.0943101055,"BHI_10"
"Alcaligenaceae",8,"Fumarate",0.3175,0.293,0.199600254,0.0943101055,"BHI_10"
"Alcaligenaceae",2,"Galacticol",0.27,0.363,0.030183918,0.02442565,"BHI_10"
"Alcaligenaceae",3,"Galacticol",0.334,0.363,0.00762895,0.02442565,"BHI_10"
"Alcaligenaceae",4,"Galacticol",0.44,0.363,0.02442565,0.02442565,"BHI_10"
"Alcaligenaceae",5,"Galacticol",0.458,0.363,0.023001704,0.02442565,"BHI_10"
"Alcaligenaceae",6,"Galacticol",0.2565,0.363,0.000284738,0.02442565,"BHI_10"
"Alcaligenaceae",7,"Galacticol",0.42,0.363,0.030994404,0.02442565,"BHI_10"
"Alcaligenaceae",8,"Galacticol",0.363,0.363,0.0276200485,0.02442565,"BHI_10"
"Alcaligenaceae",2,"Galactose",0.4275,0.459,0.0197011825,0.015658016,"BHI_10"
"Alcaligenaceae",3,"Galactose",0.4575,0.459,0.006977681,0.015658016,"BHI_10"
"Alcaligenaceae",4,"Galactose",0.4945,0.459,0.018928526,0.015658016,"BHI_10"
"Alcaligenaceae",5,"Galactose",0.5305,0.459,0.0149146315,0.015658016,"BHI_10"
"Alcaligenaceae",6,"Galactose",0.459,0.459,NA,0.015658016,"BHI_10"
"Alcaligenaceae",7,"Galactose",0.433,0.459,0.0015880425,0.015658016,"BHI_10"
"Alcaligenaceae",8,"Galactose",0.531,0.459,0.0164014005,0.015658016,"BHI_10"
"Alcaligenaceae",2,"Glucose",0.424,0.491,0.016015588,0.0131756725,"BHI_10"
"Alcaligenaceae",3,"Glucose",0.4665,0.491,0.009378455,0.0131756725,"BHI_10"
"Alcaligenaceae",4,"Glucose",0.503,0.491,0.013804412,0.0131756725,"BHI_10"
"Alcaligenaceae",5,"Glucose",0.5105,0.491,0.020065548,0.0131756725,"BHI_10"
"Alcaligenaceae",6,"Glucose",0.491,0.491,NA,0.0131756725,"BHI_10"
"Alcaligenaceae",7,"Glucose",0.381,0.491,0.0066434795,0.0131756725,"BHI_10"
"Alcaligenaceae",8,"Glucose",0.5805,0.491,0.012546933,0.0131756725,"BHI_10"
"Alcaligenaceae",2,"Glycerol",0.2845,0.30725,0.039049418,0.03421023625,"BHI_10"
"Alcaligenaceae",3,"Glycerol",0.3405,0.30725,0.008080358,0.03421023625,"BHI_10"
"Alcaligenaceae",4,"Glycerol",0.3185,0.30725,0.048820964,0.03421023625,"BHI_10"
"Alcaligenaceae",5,"Glycerol",0.333,0.30725,0.0293710545,0.03421023625,"BHI_10"
"Alcaligenaceae",6,"Glycerol",0.2635,0.30725,0.0022339105,0.03421023625,"BHI_10"
"Alcaligenaceae",7,"Glycerol",0.296,0.30725,0.040520984,0.03421023625,"BHI_10"
"Alcaligenaceae",8,"Glycerol",NA,0.30725,NA,0.03421023625,"BHI_10"
"Alcaligenaceae",2,"Lactose",0.471,0.4885,0.014270761,0.0133110225,"BHI_10"
"Alcaligenaceae",3,"Lactose",0.479,0.4885,0.004538066,0.0133110225,"BHI_10"
"Alcaligenaceae",4,"Lactose",0.4885,0.4885,0.008208214,0.0133110225,"BHI_10"
"Alcaligenaceae",5,"Lactose",0.489,0.4885,0.0133110225,0.0133110225,"BHI_10"
"Alcaligenaceae",6,"Lactose",0.527,0.4885,NA,0.0133110225,"BHI_10"
"Alcaligenaceae",7,"Lactose",0.456,0.4885,NA,0.0133110225,"BHI_10"
"Alcaligenaceae",8,"Lactose",0.544,0.4885,0.0152342895,0.0133110225,"BHI_10"
"Alcaligenaceae",2,"Maltose",0.46,0.497,0.023143623,0.009140917,"BHI_10"
"Alcaligenaceae",3,"Maltose",0.497,0.497,0.0052140835,0.009140917,"BHI_10"
"Alcaligenaceae",4,"Maltose",0.504,0.497,0.009140917,0.009140917,"BHI_10"
"Alcaligenaceae",5,"Maltose",0.4965,0.497,0.015648103,0.009140917,"BHI_10"
"Alcaligenaceae",6,"Maltose",0.521,0.497,0.000144046,0.009140917,"BHI_10"
"Alcaligenaceae",7,"Maltose",0.4605,0.497,0.005850184,0.009140917,"BHI_10"
"Alcaligenaceae",8,"Maltose",0.5665,0.497,0.0097819535,0.009140917,"BHI_10"
"Alcaligenaceae",2,"Mannitol",0.521,0.5095,0.010561155,0.010561155,"BHI_10"
"Alcaligenaceae",3,"Mannitol",0.4475,0.5095,0.006134087,0.010561155,"BHI_10"
"Alcaligenaceae",4,"Mannitol",0.4975,0.5095,0.013295807,0.010561155,"BHI_10"
"Alcaligenaceae",5,"Mannitol",0.5205,0.5095,0.0161069705,0.010561155,"BHI_10"
"Alcaligenaceae",6,"Mannitol",0.4965,0.5095,8.76e-05,0.010561155,"BHI_10"
"Alcaligenaceae",7,"Mannitol",0.5095,0.5095,0.00127974,0.010561155,"BHI_10"
"Alcaligenaceae",8,"Mannitol",0.5235,0.5095,0.017513803,0.010561155,"BHI_10"
"Alcaligenaceae",2,"Mannose",0.4565,0.5305,0.010227178,0.010227178,"BHI_10"
"Alcaligenaceae",3,"Mannose",0.4925,0.5305,0.003747651,0.010227178,"BHI_10"
"Alcaligenaceae",4,"Mannose",0.5305,0.5305,0.012096384,0.010227178,"BHI_10"
"Alcaligenaceae",5,"Mannose",0.5535,0.5305,0.0129174275,0.010227178,"BHI_10"
"Alcaligenaceae",6,"Mannose",0.5705,0.5305,0.000150263,0.010227178,"BHI_10"
"Alcaligenaceae",7,"Mannose",0.5275,0.5305,0.0049121475,0.010227178,"BHI_10"
"Alcaligenaceae",8,"Mannose",0.5635,0.5305,0.0177879615,0.010227178,"BHI_10"
"Alcaligenaceae",2,"Melibiose",0.561,0.561,0.012775739,0.013289725,"BHI_10"
"Alcaligenaceae",3,"Melibiose",0.603,0.561,0.005163552,0.013289725,"BHI_10"
"Alcaligenaceae",4,"Melibiose",0.47,0.561,0.0228453805,0.013289725,"BHI_10"
"Alcaligenaceae",5,"Melibiose",0.521,0.561,0.0214553675,0.013289725,"BHI_10"
"Alcaligenaceae",6,"Melibiose",0.4965,0.561,NA,0.013289725,"BHI_10"
"Alcaligenaceae",7,"Melibiose",0.683,0.561,0.0101683285,0.013289725,"BHI_10"
"Alcaligenaceae",8,"Melibiose",0.5795,0.561,0.013803711,0.013289725,"BHI_10"
"Alcaligenaceae",2,"Oxaloacetate",0.279,0.278,0.0150408765,0.0123738145,"BHI_10"
"Alcaligenaceae",3,"Oxaloacetate",0.278,0.278,0.000137656,0.0123738145,"BHI_10"
"Alcaligenaceae",4,"Oxaloacetate",0.247,0.278,0.0123738145,0.0123738145,"BHI_10"
"Alcaligenaceae",5,"Oxaloacetate",0.269,0.278,0.0069445025,0.0123738145,"BHI_10"
"Alcaligenaceae",6,"Oxaloacetate",0.271,0.278,0.020514127,0.0123738145,"BHI_10"
"Alcaligenaceae",7,"Oxaloacetate",0.286,0.278,0.0685954815,0.0123738145,"BHI_10"
"Alcaligenaceae",8,"Oxaloacetate",0.314,0.278,0.008027669,0.0123738145,"BHI_10"
"Alcaligenaceae",2,"Pyruvate",0.3315,0.309,0.0263118685,0.016028778,"BHI_10"
"Alcaligenaceae",3,"Pyruvate",0.279,0.309,0.02067864,0.016028778,"BHI_10"
"Alcaligenaceae",4,"Pyruvate",0.309,0.309,0.016028778,0.016028778,"BHI_10"
"Alcaligenaceae",5,"Pyruvate",0.3125,0.309,0.0135146235,0.016028778,"BHI_10"
"Alcaligenaceae",6,"Pyruvate",0.2795,0.309,0.000345214,0.016028778,"BHI_10"
"Alcaligenaceae",7,"Pyruvate",0.2895,0.309,0.0148272745,0.016028778,"BHI_10"
"Alcaligenaceae",8,"Pyruvate",0.3765,0.309,0.031573033,0.016028778,"BHI_10"
