time,OD,CarbonSource
43.1261111111111,0.3385,Rhamnose
43.2208333333333,0.338,Rhamnose
43.3152777777778,0.338,Rhamnose
43.4094444444444,0.3375,Rhamnose
43.5036111111111,0.3375,Rhamnose
43.5977777777778,0.3375,Rhamnose
43.6919444444444,0.3375,Rhamnose
43.7861111111111,0.3375,Rhamnose
43.8802777777778,0.337,Rhamnose
43.9744444444444,0.337,Rhamnose
44.0686111111111,0.337,Rhamnose
44.1627777777778,0.3365,Rhamnose
44.2569444444444,0.3365,Rhamnose
44.3511111111111,0.3365,Rhamnose
44.4452777777778,0.3365,Rhamnose
44.5394444444444,0.3355,Rhamnose
44.6336111111111,0.3355,Rhamnose
44.7277777777778,0.3355,Rhamnose
44.8219444444444,0.3355,Rhamnose
44.9161111111111,0.335,Rhamnose
45.0102777777778,0.3345,Rhamnose
45.1044444444444,0.335,Rhamnose
45.1986111111111,0.3345,Rhamnose
45.2927777777778,0.3345,Rhamnose
45.3869444444444,0.334,Rhamnose
45.4811111111111,0.334,Rhamnose
45.5752777777778,0.3345,Rhamnose
45.6694444444444,0.334,Rhamnose
45.7636111111111,0.3335,Rhamnose
45.8580555555556,0.3335,Rhamnose
45.9530555555556,0.3335,Rhamnose
46.0472222222222,0.3325,Rhamnose
46.1413888888889,0.3325,Rhamnose
46.2355555555556,0.3325,Rhamnose
46.3297222222222,0.3325,Rhamnose
46.4238888888889,0.3325,Rhamnose
46.5180555555556,0.3325,Rhamnose
46.6122222222222,0.3325,Rhamnose
46.7066666666667,0.3325,Rhamnose
46.8008333333333,0.3325,Rhamnose
46.895,0.3325,Rhamnose
46.9891666666667,0.3325,Rhamnose
47.0833333333333,0.3315,Rhamnose
47.1775,0.3325,Rhamnose
47.2716666666667,0.332,Rhamnose
47.3658333333333,0.3315,Rhamnose
0,0.0125,Glycerol
0.0941666666666667,0.01,Glycerol
0.188333333333333,0.01,Glycerol
0.282222222222222,0.01,Glycerol
0.376388888888889,0.01,Glycerol
0.470555555555556,0.01,Glycerol
0.564444444444444,0.01,Glycerol
0.658611111111111,0.00950000000000001,Glycerol
0.752777777777778,0.00950000000000001,Glycerol
0.846944444444444,0.00950000000000001,Glycerol
0.940833333333333,0.00950000000000001,Glycerol
1.035,0.00950000000000001,Glycerol
1.12916666666667,0.0105,Glycerol
1.22305555555556,0.0105,Glycerol
1.31722222222222,0.0115,Glycerol
1.41138888888889,0.0125,Glycerol
1.50555555555556,0.0125,Glycerol
1.59972222222222,0.014,Glycerol
1.69361111111111,0.015,Glycerol
1.78777777777778,0.0165,Glycerol
1.88194444444444,0.018,Glycerol
1.97611111111111,0.0205,Glycerol
2.07,0.0225,Glycerol
2.16416666666667,0.025,Glycerol
2.25833333333333,0.0275,Glycerol
2.3525,0.031,Glycerol
2.44666666666667,0.0355,Glycerol
2.54055555555556,0.039,Glycerol
2.63472222222222,0.0445,Glycerol
2.72888888888889,0.0505,Glycerol
2.82305555555556,0.0575,Glycerol
2.91694444444444,0.0655,Glycerol
3.01111111111111,0.0745,Glycerol
3.10527777777778,0.085,Glycerol
3.19944444444444,0.096,Glycerol
3.29333333333333,0.102,Glycerol
3.3875,0.105,Glycerol
3.48166666666667,0.1075,Glycerol
3.57555555555556,0.111,Glycerol
3.66972222222222,0.114,Glycerol
3.76416666666667,0.117,Glycerol
3.85805555555556,0.1205,Glycerol
3.95222222222222,0.1225,Glycerol
4.04638888888889,0.1245,Glycerol
4.14027777777778,0.125,Glycerol
4.23444444444444,0.1265,Glycerol
4.32861111111111,0.127,Glycerol
4.42277777777778,0.129,Glycerol
4.51694444444444,0.1305,Glycerol
4.61083333333333,0.132,Glycerol
4.705,0.1335,Glycerol
4.79916666666667,0.1345,Glycerol
4.89333333333333,0.136,Glycerol
4.9875,0.137,Glycerol
5.08138888888889,0.1385,Glycerol
5.17555555555556,0.1395,Glycerol
5.26972222222222,0.1415,Glycerol
5.36388888888889,0.1425,Glycerol
5.45805555555556,0.1435,Glycerol
5.55194444444444,0.1455,Glycerol
