"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","BHI_val","value.norm","value.norm.mean"
48,6157,"Glycerophosphocholine",1116026240,2,"Csc","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,0.935514508563859,0.982918299365483
48,3078,"Arginine",9479826,0,"Efm","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,0.00687740208059756,0.00627951370107799
48,2092,"Lysine",3259091712,0,"Efm","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,1.29113050909088,1.13456341620131
48,6157,"Glycerophosphocholine",1370075264,0,"Efm","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,1.16316474391735,1.05289674281957
48,3078,"Arginine",7551790,1,"Efm","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,0.00569642623608372,0.00627951370107799
48,2092,"Lysine",2601495552,1,"Efm","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.08441812357282,1.13456341620131
48,6157,"Glycerophosphocholine",1180618880,1,"Efm","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,1.03514616170789,1.05289674281957
48,3078,"Arginine",8800784,2,"Efm","pos","Arginine_3078","Arginine_3078_Hilic-pos",1404818432,0.00626471278655268,0.00627951370107799
48,2092,"Lysine",2570695680,2,"Efm","pos","Lysine_2092","Lysine_2092_Hilic-pos",2500332288,1.02814161594023,1.13456341620131
48,6157,"Glycerophosphocholine",1145688832,2,"Efm","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1192954496,0.960379322833468,1.05289674281957
48,3078,"Arginine",1462705536,0,"Chy","pos","Arginine_3078","Arginine_3078_Hilic-pos",1378402176,1.06116020447928,1.06991031522128
48,2092,"Lysine",2659556352,0,"Chy","pos","Lysine_2092","Lysine_2092_Hilic-pos",2524215552,1.05361697373235,1.05476859030778
48,6157,"Glycerophosphocholine",1180394240,0,"Chy","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1177885824,1.0021295909559,1.009844970645
48,3078,"Arginine",1462685568,1,"Chy","pos","Arginine_3078","Arginine_3078_Hilic-pos",1325706624,1.10332523079908,1.06991031522128
48,2092,"Lysine",2568433664,1,"Chy","pos","Lysine_2092","Lysine_2092_Hilic-pos",2398978304,1.07063646997008,1.05476859030778
48,6157,"Glycerophosphocholine",1198402560,1,"Chy","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1140533504,1.05073858395769,1.009844970645
